epoch,train_loss,val_loss,test_loss,train_mse,train_pearson,train_r2,val_mse,val_pearson,val_r2,test_mse,test_pearson,test_r2
1,0.8786037528488894,0.8971816245015064,0.8294686330576436,0.8786037564277649,0.45704302191734314,0.14151149988174438,0.8971815705299377,0.3171038329601288,0.03172272443771362,0.8294686079025269,0.40963417291641235,0.10699987411499023
2,0.8990003510481852,0.8261673787480448,0.9004036026339916,0.8990004658699036,0.5237625241279602,0.12158173322677612,0.8261673450469971,0.3637010157108307,0.10836440324783325,0.900403618812561,0.4630422294139862,0.030631721019744873
3,0.7720411020685393,0.8566737084281845,0.7387736739162732,0.7720411419868469,0.5419797897338867,0.24563437700271606,0.8566737174987793,0.37930914759635925,0.07544058561325073,0.7387737035751343,0.4838205575942993,0.2046414017677307
4,0.824019057534879,1.0089579597555043,0.7628549134753319,0.8240191340446472,0.5600883960723877,0.19484639167785645,1.0089579820632935,0.38038745522499084,-0.08891117572784424,0.7628549337387085,0.5063981413841248,0.1787157654762268
5,0.8897461774845146,0.8571491783760412,0.9115272669618152,0.8897461891174316,0.5813462734222412,0.13062411546707153,0.8571491241455078,0.4021338224411011,0.0749274492263794,0.9115272760391235,0.5355305671691895,0.01865607500076294
6,0.7420548790010614,0.9211052647335645,0.6995250698907485,0.7420549392700195,0.5894691348075867,0.2749340534210205,0.9211052656173706,0.37736600637435913,0.0059032440185546875,0.6995250582695007,0.5341199636459351,0.24689620733261108
7,0.7299495991416641,0.7978244474013954,0.7514737150161515,0.7299495935440063,0.6036654114723206,0.2867622375488281,0.7978244423866272,0.391415536403656,0.13895326852798462,0.7514737844467163,0.5444896817207336,0.1909685730934143
8,0.692789149949671,0.8760082517104337,0.6627803453076113,0.6927891373634338,0.6114450097084045,0.3230719566345215,0.8760083317756653,0.38551950454711914,0.05457383394241333,0.6627802848815918,0.5545389652252197,0.2864553928375244
9,0.650564037096658,0.805276382616168,0.6449407593728128,0.6505640149116516,0.6181427836418152,0.36433035135269165,0.8052763342857361,0.38431239128112793,0.13091087341308594,0.6449407339096069,0.5633728504180908,0.30566132068634033
10,0.6472710565505662,0.8013558508198689,0.6632851636655467,0.6472710371017456,0.6245294213294983,0.3675479292869568,0.8013558387756348,0.37912294268608093,0.1351420283317566,0.6632851362228394,0.5603364706039429,0.2859118580818176
